id;route_name;route_driver;bus_number;year;status;comments
1;Investor;Wisconsin Peso Pa'anga;6158;56640;HDD Rubber;overriding e-markets cross-platform
2;Kids;Market AI virtual;15722;74475;parsing Marketing;generate calculating
3;indigo;Automotive;91425;28408;Account Tools;Frozen Wooden Product
4;system virtual;Account Fantastic;26634;82331;olive;Borders
5;Chair;Corporate Shoes Rwanda;81885;60236;bricks-and-clicks;Computers Sleek
6;optimal;Account high-level Hawaii;73341;65239;multi-byte;Chief Cambridgeshire Executive
7;input Pants;microchip holistic;12206;39483;Configuration;Sleek Buckinghamshire
8;cutting-edge envisioneer;database enhance;6294;38966;Personal black;Automotive synergistic Credit
9;Massachusetts Iowa interface;HDD withdrawal Cloned;74989;67575;PCI;Dollar circuit Borders
10;Berkshire Leu Borders;withdrawal;9448;56960;product Tools client-server;Shirt Borders azure
