id;is_link;link;display_text;font_size
1;true;JBOD Consultant;system Borders;Shirt responsive metrics
2;false;integrated;Streamlined;Rubber
3;true;Avon;frictionless Stand-alone Sri;collaborative Health Utah
4;false;Borders digital Brand;brand;e-tailers auxiliary Texas
5;false;Jewelery Avon USB;Vatu Cape Greenland;Verde
6;false;Borders Unit;bluetooth;Avon
7;false;model Bedfordshire;Vermont;best-of-breed
8;true;Realigned Account Hill;withdrawal;index Ways Innovative
9;true;Dirham;calculating;Granite infrastructure
10;false;lavender flexibility;Granite navigating;Planner
