id;name;description;model_id;page_id;type;full_screen;history
1;pixel;Forward;Granite;1448;up;true;Investor invoice Italy
2;invoice Ergonomic;knowledge panel orchestrate;Path;5194;cyan Soft Mongolia;false;Kenya Manager
3;Granite product;Concrete explicit Hills;Regional;8188;Identity;true;Fantastic
4;program;transition;User-centric;46774;Frozen Checking;true;open-source
5;Hat payment;generating Consultant Strategist;Developer;7171;Object-based New;true;vortals
6;Oklahoma;deploy;Maryland;33914;Tuna calculating;true;Rustic transmitting
7;Front-line;withdrawal;synergies;21918;Future;false;Virginia
8;Interactions;withdrawal;Avon HDD Identity;98756;installation compress;true;of
9;Integration overriding;infrastructure;program incentivize green;87323;turn-key;true;digital Rapid
10;magenta;models Bedfordshire;infrastructures;78381;Computer transmitting;true;Rupiah bypass Security
