id;total_academic_fee;academic_feewave_off;academic_fee_paid;total_academic_fee_paid;academic_feepending;bus_alloted;hostel_alloted;total_bus_fee;bus_feewave_off;bus_fee_paid;total_bus_fee_paid;bus_feepending;total_hostel_fee;hostel_feewave_off;total_hostel_fee_paid;hostel_fee_paid;hostel_feepending;hostel_expenses;year;comments
1;54916;76115;54566;26520;75259;false;true;64315;16767;12800;31788;71366;20569;54796;62951;61315;51845;51559;96296;Agent monitor North Dakota
2;92977;2543;15898;1653;83569;true;false;69861;15301;62826;20431;62503;37979;80687;94168;93476;62376;87794;23778;mobile
3;16974;53155;82923;7866;27659;false;true;19413;56294;74078;13685;49246;98064;26391;83830;85486;9282;25249;73769;Ergonomic Soft Pizza parsing
4;43123;93806;67232;75937;36301;true;true;4335;40050;6818;82340;5207;63216;9695;41837;89152;75235;45721;18609;olive
5;29850;13548;38823;66012;18122;true;false;78377;91184;7196;30546;47323;33585;93481;47625;11543;16452;19751;68556;Shoes Avon digital
6;91450;23265;182;53788;81985;true;true;69764;58375;19885;66133;15644;47682;6893;30954;27706;89872;50512;73097;parsing bypass Outdoors
7;81033;91024;1404;44433;69346;false;true;68720;53290;30403;98879;45567;41557;82408;86849;99900;20658;23810;98043;Checking Account Saint Martin bandwidth-monitored
8;21484;29279;71554;12317;26150;true;false;29537;20970;41949;20044;18408;99839;51704;33062;74001;43896;8465;54999;Directives Awesome Rubber Chips
9;63627;2228;3028;88005;29616;false;true;28634;67392;4247;89327;72049;97880;12808;17037;65932;5398;9982;58237;Place
10;96077;93342;94365;87935;26888;false;false;98156;72803;88598;95889;22637;49493;88438;11627;70992;38608;70115;19975;Principal Awesome methodology
