id;exam_name;total_markes;markes;comments
1;Savings project optimize;3219;90740;Accountability interface invoice
2;experiences radical ubiquitous;85262;87291;e-business
3;human-resource Wooden;97907;88371;cross-platform functionalities Senior
4;SCSI Card;63393;6511;productize
5;deposit copying Buckinghamshire;29056;20252;Industrial reintermediate
6;Pennsylvania deposit Gloves;45859;30402;Chief microchip
7;JBOD;33466;27092;Pa'anga
8;calculating Shoes leverage;60159;40928;Northern Cambridgeshire invoice
9;Account overriding;16592;64597;Associate parsing
10;Wooden Account plug-and-play;36911;25796;Cotton
